Carimbo de data/hora,esportes_praticados,fav_esporte,idade,peso,altura,genero,"Se você leu essa pergunta, responda 1:"
01/12/2021 20:15:40,"Handebol, Vôlei, Basquete",Handebol,19,82,174,Masculino,1
01/12/2021 20:19:05,"Futebol, Basquete",Basquete,22,56,164,Masculino,1
01/12/2021 20:19:13,Outros,Vôlei,18,54,161,Feminino,1
01/12/2021 20:19:43,"Futsal, Futebol, Basquete, Outros",Futsal,18,50,160,Feminino,1
01/12/2021 20:20:13,"Futsal, Futebol, Vôlei, Basquete",Futebol,20,52,164,Masculino,1
01/12/2021 20:20:25,Outros,Outros,20,49,155,Feminino,1
01/12/2021 20:20:25,Futebol,Futebol,18,70,170,Feminino,1
01/12/2021 20:20:50,"Futsal, Futebol, Outros",Futsal,21,54,172,Masculino,1
01/12/2021 20:21:28,"Futsal, Futebol",Futebol,18,50,170,Masculino,1
01/12/2021 20:21:36,Outros,Outros,18,67,176,Masculino,1
01/12/2021 20:23:24,Futebol,Futebol,17,84,175,Masculino,1
01/12/2021 20:24:04,Outros,Outros,20,58,170,Feminino,1
01/12/2021 20:24:08,"Handebol, Vôlei, Outros",Outros,18,70,187,Masculino,1
01/12/2021 20:24:57,"Handebol, Basquete",Handebol,21,70,169,Feminino,1
01/12/2021 20:26:44,"Futsal, Futebol, Handebol, Vôlei, Basquete, Outros",Futebol,18,60,160,Feminino,1
01/12/2021 20:26:51,"Vôlei, Outros",Outros,19,53,165,Feminino,1
01/12/2021 20:27:14,"Futsal, Futebol, Basquete",Futebol,18,63,173,Masculino,1
01/12/2021 20:27:38,Outros,Outros,20,69,171,Masculino,1
01/12/2021 20:27:42,"Futsal, Handebol, Vôlei",Vôlei,20,75,173,Feminino,1
01/12/2021 20:28:08,"Futsal, Futebol",Futsal,24,65,176,Masculino,1
01/12/2021 20:28:21,Outros,Vôlei,23,67,170,Masculino,2
01/12/2021 20:28:51,Outros,Outros,19,63,175,Feminino,1
01/12/2021 20:30:11,"Handebol, Vôlei",Handebol,18,53,156,Feminino,5
01/12/2021 20:30:37,"Futsal, Handebol",Handebol,19,85,179,Masculino,1
01/12/2021 20:30:37,"Futsal, Futebol, Vôlei, Basquete, Outros",Futebol,18,75,170,Masculino,1
01/12/2021 20:32:00,Outros,Outros,19,61,181,Prefiro não responder,1
01/12/2021 20:32:04,Vôlei,Vôlei,19,63,166,Masculino,1
01/12/2021 20:32:12,Futsal,Futsal,20,70,178,Masculino,1
01/12/2021 20:32:19,Outros,Futsal,19,60,182,Masculino,1
01/12/2021 20:38:13,Outros,Vôlei,21,49,163,Feminino,1
01/12/2021 20:38:24,"Futebol, Handebol, Basquete",Basquete,18,52,156,Feminino,1
01/12/2021 20:40:15,Basquete,Basquete,18,59,160,Feminino,1
01/12/2021 20:40:38,"Handebol, Outros",Outros,19,53,163,Feminino,1
01/12/2021 20:41:28,"Futsal, Futebol",Futsal,20,70,174,Masculino,1
01/12/2021 20:42:30,Vôlei,Vôlei,17,62,160,Feminino,1
01/12/2021 20:42:42,Vôlei,Vôlei,18,75,170,Masculino,1
01/12/2021 20:42:43,"Handebol, Outros",Outros,17,58,164,Feminino,1
01/12/2021 20:42:46,"Futsal, Futebol",Futsal,19,50,167,Feminino,1
01/12/2021 20:43:06,"Futsal, Futebol, Vôlei, Basquete",Futsal,18,75,184,Masculino,1
01/12/2021 20:43:24,Outros,Outros,22,80,179,Masculino,1
01/12/2021 20:47:44,Outros,Outros,18,55,170,Masculino,1
01/12/2021 20:48:51,Outros,Outros,19,63,171,Masculino,1
01/12/2021 20:51:28,Outros,Outros,19,85,170,Masculino,1
01/12/2021 20:54:12,Handebol,Basquete,19,95,189,Masculino,1
01/12/2021 20:54:42,Handebol,Handebol,18,85,167,Masculino,1
01/12/2021 20:56:10,Outros,Outros,18,69,177,Masculino,1
01/12/2021 21:02:58,"Futebol, Handebol, Vôlei, Outros",Futebol,18,60,171,Masculino,1
01/12/2021 21:13:09,Outros,Outros,21,89,179,Masculino,1
01/12/2021 21:19:21,Outros,Outros,20,51,168,Masculino,1
01/12/2021 21:21:44,Outros,Outros,20,70,163,Masculino,1
01/12/2021 21:25:05,Outros,Outros,20,62,160,Feminino,1
01/12/2021 21:40:53,"Futebol, Handebol, Vôlei, Basquete",Handebol,18,72,178,Masculino,1
01/12/2021 21:56:16,Outros,Outros,19,53,159,Feminino,1
01/12/2021 22:13:29,Outros,Basquete,18,62,161,Feminino,1
01/12/2021 22:23:30,Outros,Outros,19,47,160,Feminino,1
01/12/2021 22:39:52,"Vôlei, Basquete",Handebol,19,56,156,Feminino,1
02/12/2021 09:22:04,"Handebol, Vôlei",Handebol,20,59,172,Masculino,1
02/12/2021 11:36:13,"Basquete, Outros",Basquete,20,55,170,Masculino,1
02/12/2021 16:43:42,"Handebol, Basquete",Basquete,19,60,164,Feminino,1